region,max_100_2019,max_100_2021,max_test_2019,max_test_2021,max_12_2019,max_12_2021
Вінницька область                                                                                   ,200.00,200.00,62.00,67.00,12,12
Волинська область                                                                                   ,200.00,200.00,62.00,67.00,12,12
Дніпропетровська область                                                                            ,200.00,200.00,62.00,67.00,12,12
Донецька область                                                                                    ,199.00,200.00,61.00,67.00,12,12
Житомирська область                                                                                 ,199.00,200.00,61.00,67.00,12,12
Закарпатська область                                                                                ,199.00,200.00,61.00,67.00,12,12
Запорізька область                                                                                  ,200.00,200.00,62.00,67.00,12,12
Івано-Франківська область                                                                           ,200.00,200.00,62.00,67.00,12,12
Київська область                                                                                    ,200.00,200.00,62.00,67.00,12,12
Кіровоградська область                                                                              ,199.00,200.00,61.00,67.00,12,12
Луганська область                                                                                   ,200.00,198.00,62.00,65.00,12,12
Львівська область                                                                                   ,200.00,200.00,62.00,67.00,12,12
Миколаївська область                                                                                ,200.00,199.00,62.00,66.00,12,12
м.Київ                                                                                              ,200.00,200.00,62.00,67.00,12,12
Одеська область                                                                                     ,200.00,200.00,62.00,67.00,12,12
Полтавська область                                                                                  ,200.00,200.00,62.00,67.00,12,12
Рівненська область                                                                                  ,199.00,200.00,61.00,67.00,12,12
Сумська область                                                                                     ,200.00,200.00,62.00,67.00,12,12
Тернопільська область                                                                               ,200.00,200.00,62.00,67.00,12,12
Харківська область                                                                                  ,200.00,200.00,62.00,67.00,12,12
Херсонська область                                                                                  ,200.00,200.00,62.00,67.00,12,12
Хмельницька область                                                                                 ,200.00,200.00,62.00,67.00,12,12
Черкаська область                                                                                   ,200.00,200.00,62.00,67.00,12,12
Чернівецька область                                                                                 ,200.00,200.00,62.00,67.00,12,12
Чернігівська область                                                                                ,200.00,198.00,62.00,65.00,12,12
